,spotid,spotname
43827,1257,Banc Cafe
43906,254,TAO
43923,1254,ABC News
44027,1001,Staten Island Ferry
44219,1526,Rosa Mexicana
44493,1450,Marriott Residence Inn
44539,1037,"Barnes & Noble, Fifth Avenue"
44612,1544,Bolt Bus Stop
44666,1726,The Ginger Man
44674,1240,Adega Bar And Grill
44683,549,Holsten's
44702,1442,Just Jakes
44712,1139,Raymond's
44866,1310,Whole Foods
44893,674,Starbucks
44909,1753,Elevation Burger
44937,2343,Scandinavia House
44945,513,Walnut Street Station
44949,673,Comb
44962,404,Hallo Berlin
44987,2152,The Pony Bar
45008,1768,Corrado Bread & Pastry Cafe
45103,2407,Gristedes
45112,762,US Postal Service Office
45141,415,Hunter College
45177,1999,Art Bar
45249,1785,Lexington Armory
45326,2170,Borders
45372,1231,Zibetto Espresso Bar
45396,1543,Starbucks
45409,1453,Jekyll And Hyde Club
45435,1033,FIKA espresso bar
45450,97,Nobu
45461,366,Paris Theater
45480,1900,Buckingham Suites
45483,2025,eBay Holiday Popup Store
45509,255,Louis Vuitton
45517,1430,Sony Music - D2C
45536,259,Playboy Enterprises HQ
45647,261,590 Madison Avenue
45672,2308,Lexington Avenue—53rd Street Station
45714,2068,American Girl Place
45740,2368,Two Boots (Grand Central)
45910,1878,Barnes & Noble
45934,1633,Bay Plaza
45979,2083,Serafina Fabulous Grill
46002,235,Roscoe Conkling
46015,2106,Così
46030,127,Design Within Reach
46073,271,Olympic Tower
46094,256,Bergdorf Goodman Mens Store
46102,2123,Eat Here Now
46139,993,Hershey's Times Square
46169,806,News Corporation
46215,896,Bubby's
46298,1873,Café Select
46306,1893,Joseph Leonard
46417,2075,Tompkins Square Park Playground
46466,2380,Luke's Bar and Grill
46473,2055,Bobo
46507,423,North Cove Marina
46523,373,Pier 83
46536,372,Gray's Papaya
46538,365,Doubletree Hotel Jersey City
46632,1777,Betaworks
46671,1319,Cha Cha's
46735,2033,The Hudson Hotel
46820,1072,El Centro
46835,187,Teuscher
46862,1659,Kellari Taverna
46940,2280,Lunch Box
46951,206,Morning Star Restaurant
47013,236,Houndstooth Pub
47094,276,Chelsea Piers Golf Club
47211,1794,92Y Tribeca
47292,657,La Colombe Torrefaction
47308,1505,Starbucks
47375,2448,Moomah Cafe
47391,1803,Trattoria Cinque
47541,1974,Sunshine Suites
47552,274,Starbucks Coffee
47581,1850,White Star
47600,752,Dag Hammarskjöld Plaza
47620,751,Tudor City Greens
47644,2370,TopShop
47661,1454,B Cup Cafe
47694,28,One New York Plaza
47765,1838,Long Island Expressway
47836,1490,Queensboro Plaza Station
47847,2452,Duane Reade
47856,781,Pret A Manger
47874,1582,Chorus Karaoke
47916,1276,Fanelli's Cafe
47945,1809,Bleeker Bar
47984,1075,Co.
48051,1833,Dang Lai Palace
48087,2482,Gem Chelsea Hotel
48166,681,AMC Loews Lincoln Square 13
48202,202,Hope Garden
48238,526,Wendy's
48266,222,New York Hotdog & Coffee
48332,1993,Madam Geneva
48362,943,Dos Caminos
48401,1315,The Ainsworth
48422,1196,New York Presbyterian Hospital
48430,686,United Palace
48432,548,Dunkin' Donuts
48437,767,Aki Japanese Cuisine
48440,1680,World Headquarters Club ABC
48452,1484,Sutton Plaza
48453,1766,Dunkin' Donuts
48455,729,Passionné
48461,794,Manganaro Grosseria Italiana
48476,1320,Hell's Kitchen
48479,537,Boi Na Brasa
48528,498,Prudential Center
48535,536,Mompou
48541,547,Tick Tock Diner
48659,1489,Dunkin' Donuts
48735,1552,Gemini Diner
48787,2023,St. Vartan Park
48876,1500,AMC Loews Kips Bay 15
48999,347,School of Visual Arts
49032,2218,202 Spring Street
49154,83,Roosevelt Island Tram Station (West)
49172,2161,Todaro Bros. Specialty Foods
49180,2261,Saint Vartan's church
49205,2339,The News Building
49209,1230,Ad Council
49214,2338,WPIX - Channel 11
49281,1990,Geraldine Schottenstein Cultural Center
49447,1440,The Devon
49451,1991,El Parador Cafe
49603,2066,Queens Library
49707,31,Pace University
49733,74,1 Police Plaza
49796,2290,School of Visual Arts
49967,2108,14th Street PATH Station
50095,2262,Medical Arts Center
50256,416,OkCupid World Headquarters
50261,359,Stush Music Studios
50317,970,Upright Citizens Brigade Theatre
50569,973,Transmitter Park
50633,2171,Beaux-Arts Institute of Design
50646,1222,The Comfort Diner
50666,777,Midtown Comics (Grand Central)
50680,911,The Union League Club
50785,1465,Atlantic Terminal
50798,1637,Pacific Street Station
50807,1245,NYU Medical Center
50815,1346,Ess-a-Bagel
50919,1225,Pfizer World Headquarters
50925,1590,Black Out
50965,2235,Chennai Garden
50980,2187,122 East 82nd Street
50989,1401,Engine Company 44
51219,577,Ralph Bunche Park
51234,1558,Press NY
51352,1436,Newark Broad St Station
51390,2223,Six Apart
51409,1146,Baluchi's Soho
51416,873,Anthology Film Archives
51451,248,The New York Helmsley Hotel
51462,1752,Art Directors Club
51466,221,Here Arts Center
51816,2175,Rivergate Veterinary
51921,1478,Behavior
51955,185,St. Peter's Church
52209,1578,Caracas Arepa Bar
52264,571,New York City Supreme Court
52333,2049,Dos Caminos
52409,628,NYU Education Building Computer Lab
52411,2288,NYU Psychology Building
52464,1655,Ess-a-Bagel
52477,564,Starbucks Coffee
52675,725,Maggie's Town Tavern
52772,949,Bonjour Monsieur Creperie
52806,1150,Toast
52839,801,Nauna's Bella Casa
52843,371,Ruthie's BBQ & Pizza
52864,942,Target
52935,450,Bouchon Bakery
52998,1023,The Bell House
53004,617,MWW Group
53005,364,Tina Louise
53024,2312,Gottino
53064,1926,Double Tree Hotel
53076,149,Va Bene
53170,311,West Midtown Ferry Terminal
53179,361,Atelier Rooftop
53259,1780,Shaffer City Oyster Bar
53276,1579,Grand Sichuan
53289,89,Hermes
53326,1781,Core Club
53507,58,Statue of Liberty Gift Store
53512,56,Statue of Liberty Pier
53522,53,Observation Deck on the Statue of Liberty
53559,312,Hudson River
53563,492,Lincoln Harbor
53600,293,Sea Port Coffee Shop
53726,61,Ellis Island Ferry
53745,59,Liberty Island Ferry
53761,175,Battery Park Playground
53794,1711,Norwood
53844,641,Schnipper's Quality Kitchen
53875,212,The Gates
53930,1913,Chipotle
54000,2324,POP Burger
54006,2128,La Villa Pizzeria
54012,1374,Blue Ribbon Brooklyn
54067,1860,Starbucks Coffee
54118,290,Edelman HQ
54162,1202,Best Buy
54201,1134,Stout NYC
54302,1937,Best Buy - UWS
54365,2426,Starbucks Coffee
54470,1642,Starbucks Coffee
54496,1017,Starbucks
54579,1087,Roosevelt Hotel
54618,2443,Starbucks 1345 6th Avenue
54655,1929,West Side YMCA
54778,1353,Rebel Rebel
54892,1631,McCarren Park
54921,1249,Burrito Box
54946,2061,Europan Bakery Cafe/Johns Pizza
54972,1405,Wafels & Dinges
55045,2037,Kaufman Astoria Stadium 14
55141,2109,"Barnes & Noble, Court Street"
55215,2085,Jumeirah Essex House
55278,1063,Mayahuel
55518,428,Grant's Tomb
55532,427,Riverside Church
55575,1275,Alliance Bernstien Building
55611,479,Hearst Building
55684,1806,Henri Bendel
55699,224,The Citigroup Center
55720,263,Sony Plaza Public Arcade
55797,1783,Monkey Bar
55898,563,Sarabeth's Central Park South
55938,111,Barneys New York
56053,504,New York Institute Of Technology
56128,2265,RRE Ventures
56184,92,Jimmy Choo
56193,266,The Carriage House
56226,265,Subway Inn
56274,253,Argosy Books
56344,959,Candle Cafe
56414,1767,Day Dermatology
56434,1654,Gristedes
56503,923,Candle79
56533,611,Via Quadronno
56556,107,Saint Ambroeus
56630,388,Lenox Hill Hospital
56647,1576,Butterfield Market
56726,108,La Maison du Chocolat
56729,109,L' Occitane
56734,281,Bar Italia
56751,1187,Johnny Foxes
56785,1595,Tal Bagels
56904,1847,Jack Russell's Pub
56910,1762,Mustang
56954,1948,Best Cellars
56978,1599,Manhattan Church Of Christ
56981,1039,Baxter Home
57024,1879,Rathbones
57050,1970,Pick Up Stix
57061,1965,Lex Restaurant
57136,1964,Dunkin' Donuts
57276,1950,Duane Reade
57384,1971,Trafalgar House Condominium
57415,2484,St. Nick's Pub
57421,1193,Harlem River Houses
57451,9,Hard Rock Cafe
57473,2219,Yankees Ticket Office
57511,10,Babe Ruth Plaza
57574,1909,Culinary Media Network HQ
57577,1933,Manhattan Bible church
57584,1080,N2XY
57654,306,Marcus Garvey Park
57704,2031,Spatta Cafe
57754,1388,Maison Du Minor
57817,2007,CVS Pharmacy
57832,2013,Dunkin' Donuts
57849,438,Duke Ellington Circle
57881,607,Lolita's Mexican Restaurant
57908,2067,Food for Life Supreme
57960,1638,Fulton Mall
57978,629,Lucali
58059,2077,Brooklyn Botanic Garden
58094,555,Brooklyn Museum
58097,2365,Farinella
58148,1481,The City Bakery
58158,1744,Rubin Museum of Art
58166,2122,The Dish
58181,2174,Billy's Bakery
58228,1772,Diane von Furstenberg
58250,1393,Hogs & Heifers
58338,2029,Tory Burch
58356,615,5/9th
58364,1038,Macelleria
58392,1581,Entwine
58467,1788,Turks & Frogs
58539,1804,The Otheroom
58563,140,The Rusty Knot
58646,2050,Malatesta
58647,1441,The Archive
58726,2227,Starbucks Coffee
58809,1258,"frog design, inc."
58862,1291,Antarctica
58939,906,Wolfgang's Steakhouse
58985,907,Dylan Prime Steakhouse
59019,1918,Nobu
59051,2221,POKE New York
59092,2431,Rosetta
59122,905,'Wichcraft
59131,898,Tribeca Grill
59135,2351,TriBeCa Deli
59149,897,Locanda Verde
59172,2275,Peace & Love
59192,899,Dean's
59214,904,Bazzini
59231,1495,Hideaway
59245,901,Salaam Bombay
59261,902,Washington Market Park
59268,903,Stuyvesant High School
59327,1934,Whole Foods Market (Tribeca)
59351,176,Tear Drop Park
59436,574,Amish Market
59493,1472,Kaffe 1668
59539,2052,PS 450
59547,217,New York Theatre Workshop
59837,473,Ollie's
59857,688,Famous Original Ray's Pizza
59863,2222,Sam Ash Music
59875,2395,Sbarro
59884,726,The View Restaurant
59888,1494,Sage Theater
60056,1191,Bed
60136,2172,British Airways Terraces Lounge Terminal 7
60235,551,Ben's Kosher Delicatessen
60293,763,Rogue
60307,234,William H. Steward
60316,2440,Olive Garden
60366,634,The Limerick House
60411,1712,Eatery
60426,1362,Caffé Del Mare
60435,2492,Home Sweet Home
60470,1665,Benny's Burritos
60475,1107,Anna Maria Pizza
60528,990,Nathan's Famous Frankfurters
60571,2252,Creperie-Crepe De Paris
60581,1213,Tea Lounge
60602,1646,Dean & Deluca
60645,1601,Starbucks
60676,1349,Bark Hot Dogs
60722,854,Calexico Carne Asada
61075,2319,NYU Silver Towers
61178,1765,Starbucks 52nd & 8th
61200,2295,Lucky's Famous
61313,2229,Honshu Sushi
61403,1611,Hoboken Waterfront - Pier A Park
61480,2469,Daisy May's
61530,2394,Mooncake Foods
61670,1960,Hotel Griffou
61728,1243,Grove St PATH Station
61737,2044,LITM
61815,1279,City Winery
61836,1859,AMC Aviation 12
61859,671,The Little Owl
61912,1259,Starbucks Coffee
61920,1379,Sonic
62039,597,Jersey Gardens
62073,712,Longhorn Steakhouse
62127,1424,Dunkin' Donuts
62191,383,The Cloisters
62280,518,"Starbucks - Terminal C, EWR"
62481,499,Bar Tabac
62546,511,Cookshop
62583,408,Spike Hill
62641,1377,Sir Harry's
62683,402,Chelsea Clearview Cinemas
62695,2356,American Airlines Admirals Club  - Concourse D
62796,1460,Trader Joe's
62863,1417,Cafe Pedlar
62897,1022,Prime Meats
62905,2489,The Brooklyn Inn
62911,2257,Starbucks
62927,691,Clover Club
62986,386,Blip.tv Headquarters
63132,1287,President's Club
63156,2004,Presidents Club Gate 71
63305,1177,Local
63322,1517,Rhong-Tiam [NOW CLOSED]
63519,345,Klee Brasserie
63692,1994,Park Ave Bar & Grill
63705,330,Madison Bar & Grill
63706,329,Hoboken North
63736,1365,Starbucks
63817,1398,Columbus Park
63993,2196,Ginger House
64138,1741,Johny's
64214,1586,Flatiron Lounge
64269,1666,Spin NY
64307,250,Craftbar
64370,832,"Center Stage, NY"
64412,2463,Aleo
64461,1474,Seed Media Group
64484,1808,Sistina
64521,1241,Hi Life
64525,664,Sable's
64537,1502,Bardolino
64646,385,OK Central Deli
64950,1771,The Bread Factory Cafe
65062,1226,Vine
65083,11,McDonald's
65169,1824,Xoom
65180,2384,Express
65266,418,Whiskey Cafe
65339,351,Bergen Town Center Mall
65418,716,"Apple Store, Paramus"
65487,562,Garden State Plaza
65490,430,Barnes & Noble
65516,2133,Chop't
65539,1756,Diablo Royale
65558,1921,The Redhead
65605,2347,Chop't
65621,803,Marco & Pepe
65643,866,Marc By Marc Jacobs
65665,2462,Rub BBQ Restaurant
65669,1351,Pure Dark
65686,1972,F.S.C. Barber
65696,1477,Momofuku Má Pêche
65707,2041,Meze Grill
65716,272,J. Crew
65937,680,Sake Bar Hagi
65966,2054,Hell's Kitchen
66077,507,Chelsea Brewing Company
66102,608,Ellen's Stardust Diner
66227,300,Crowne Plaza Hotel
66244,302,Chipotle
66271,1247,Starbucks
66500,481,Old Buddy Media HQ
66558,2342,The Kitano
66614,303,Duke's
66628,2080,Sarge's Deli
66630,1988,Wild Edibles
66669,2473,Vaughn College Of Aeronautics And Technology
66680,350,Wild Asia Monorail
66707,161,Game Stop
66709,2438,Kinokuniya
66756,2433,The Pump
66832,2201,Seppi's
66915,280,Rise At Ravel
66969,1550,Energy Kitchen
66987,264,New York Health and Racquet Club
66990,2169,Mercedes Benz Manhattan
67013,2078,Damrosch Park
67075,2364,Elle Girl
67130,2263,Special Coffee And Donut
67143,2451,Five Guys Burgers and Fries
67159,190,Menkui Tei
67219,1976,Dean & Deluca
67235,496,McDonald's
67264,1930,Citibank Columbus Circle
67317,2072,Silver Star
67321,1237,Hot & Crusty
67327,279,Becky's
67340,2110,15 Central Park West
67348,1381,Del Posto
67371,2326,Wellington Hotel
67377,2274,Katz Media
67390,2300,Estiatorio Milos
67396,295,Central Filing
67400,1835,David Z
67405,1224,Pretzel Dude Outside MOMA
67418,2266,Lee's Art Shop
67434,1555,Whym
67452,490,Complex Magazine
67460,1614,Blue Ribbon Sushi
67564,193,Metropolitan Oval 
67570,196,Hugh Grant Circle
67596,1707,Film Center Cafe
67603,1691,La Bella Stella Pizzeria & Restaurant
67609,2217,Markers Restaurant
67677,2194,Candlewood Suites
67730,1083,The White Horse Tavern
67734,1272,Cafe Panino Mucho Giusto
67758,95,The Spotted Pig
67856,216,Brooklyn Battery Tunnel
67892,1206,Columbine
67941,2208,10 Exchange Place
67955,485,Chelsea Mercantile
68069,2251,Pipa
68117,12,The Bronx Zoo
68150,2399,Bay Plaza
68155,1922,174st. Bronx River Ave. 10472
68220,287,Pelham Bay Park
68314,139,New York Aquarium
68328,226,The Connelly Theater
68333,246,The Creative Little Garden
68385,983,Mee Noodle Shop & Grill
68400,1530,Waterfront Ale House
68451,1371,Silver Spurs
68632,2429,Ruby's
68667,2159,Kellogg's Diner
68714,304,Carmine's
68722,327,White Castle
68738,1131,Epistrophy Cafe
68790,1613,Garden Of Eden - Specialty Foods
68843,1816,Starbucks
69018,1109,Macri Park
69165,2010,Patsy's Pizza
69428,997,Knockerbocker Bar & Grill
69480,2210,Pavonia-Newport PATH Station
69502,1604,Canis Minor
69573,1701,Little Italy Pizza
69612,2146,Henry Hudson Bridge
69618,2098,207th Street Station (Broadway)
69697,1185,Columbus Park
69753,531,Lehman College
69872,1935,Starbucks
69880,1663,Blue Marble
69957,1215,Uno Chicago Grill
70026,207,The Modern
70056,2362,TGI Friday's
70111,1020,Borders
70126,2278,Dake Sushi
70136,2430,Chase
70155,2150,Megabus Bus Stop (dropoff)
70293,596,Burritoville
70414,1553,Doma
70600,2250,Local 138
70685,1244,33rd Street PATH Station
70753,1750,Panera Bread
70825,520,Starbucks
70870,544,Dunkin' Donuts
70881,1281,Hackensack University Medical Center
70901,2129,AMC Clifton Commons 16
70977,457,T.G.I. Friday's
70983,834,Lyndhurst Bridge
71073,765,Lyndhurst Diner
71111,2333,IHOP
71208,1855,The Half King
71308,337,Subway
71372,2181,Qi
71382,1832,Au Bon Pain
71436,1106,Blockheads
71456,595,"MTA Coney Island - Stillwell Av [D,F,N,Q]"
71471,2231,Morrell Wine Bar & Cafe
71515,1446,Linden Train Station
71586,1113,Mamoun's Falafel
71657,1414,Bedouin Tent
71680,357,Hanks
71684,1459,Betty Bakery
71691,1305,Flying Saucer
72025,1422,Throgs Neck Bridge
72165,957,Bronx Zoo - Children' Zoo
72195,908,TriBeCa Cinemas
72217,34,J P Morgan Chase
72300,1188,Bowery Ballroom
72318,2335,St. John's University
72387,154,Choice Market
72424,1814,Char No. 4
72551,1403,Brooklyn Public Library (Central)
72588,1255,Common Grounds
72604,1569,Brooklyn Larder
72623,1786,FoodTown
72624,1641,Ms Dahlia's Cafe
72626,1265,La Table Exquise 
72639,1220,Bread Stuy
72783,1324,Nice Green Bo
72828,1658,New World Stages
72909,2301,NYU Torch Club
73059,1307,Au Bon Pain
73072,2247,Pinkberry
73136,51,Paramount Plaza
73173,928,Nha Trang Centre
73246,245,International Center of Photography
73255,2168,George M!
73362,2189,Pam Real Thai Encore
73410,393,Joshua Tree
73414,1256,Tai Thai
73484,1416,Ethel Barrymore Theatre
73502,885,Frontier Coffee Shop
73611,1982,O'neill's
73637,5,Queens Museum of Art
73842,951,Vezzo
73908,888,Ben Jack's
73931,2087,Overlook 
73996,1848,Traffic
74124,566,Ollie's
74173,2272,Pret A Manger
74289,491,Campus center
74347,462,New Jersey Institute Of Technology
74446,1730,Abigail
74506,554,Union Pool
74533,2258,The MetLife Building
74576,698,Target
74581,981,Auntie Anne's Pretzels
74588,2020,Sephora
74642,2311,Croxley's Ale House
74745,1372,Grace Church
74810,1871,Starbucks
74816,1681,Vinmont Veteran Park
74844,1141,Dickenson High School
75021,1966,Journal Square PATH Station
75057,769,Prosperity Dumpling
75136,2057,Gossip Bar & Restaurant
75212,2293,Rayburn Music New York
75222,36,Meadowlands Racetrack
75283,2040,Second Stage Theatre (2ST)
75343,1034,GameStop
75378,1069,Porchetta
75454,1370,Aqueduct Race Track
75534,818,Wondee Siam III
75557,804,Kashkaval
75593,1651,Broadway Station
75751,1870,Hoboken Gourmet Company
75764,1457,Starbucks Coffee
75814,1608,Crumbs
75844,301,The Viceroy
75869,2225,Emmanuel's
75873,1392,PNC Bank
75914,1609,W Hotel - Bliss Bar
75951,1428,A&P Fresh Market
75957,1462,maroon
76014,1945,Lomography
76023,1352,New York Sports Club
76092,1992,CJ Sullivan's
76097,1792,Dunkin' Donuts
76100,1791,The Fairview
76104,1784,Rosa Pizza
76132,1429,Saigon Grill
76191,1739,Marble Hill Metro-North Station
76237,517,Starbucks
76296,506,Xie Xie
76405,1577,200 Fifth
76462,382,Fort Tryon Park
76507,1166,Starbucks (910 Manhattan)
76541,792,Cooper's Tavern
76581,1542,Starbucks
76587,1773,HSBC
76593,1130,Ricky's NYC
76601,1431,Burger King
76688,1796,Rambling House
76726,2073,Lenny's 23
76799,2314,Park Slope Ale House
76817,939,Pavillion Park Slope
76832,1396,Park Slope ChipShop
76855,877,Dizzy's
76935,1506,Ozzie's Coffee & Tea
76944,809,La Bagel Delight
76969,1347,7 Ave Donuts
77034,960,Two Boots Brooklyn
77039,2093,Williamsburg Savings Bank Building
77042,1975,American Beer Distributing
77099,1551,Purity Diner
77178,1420,Cadman Plaza Park
77185,1084,Court Square Diner
77215,980,"Barnes & Noble, Park Slope"
77253,2024,Good Stuff Diner
77293,204,Bean & Bean
77336,2354,Zeytuna
77356,1626,Wall Street Station
77449,812,Smiling Pizza
77454,886,Colson Patisserie
77471,1598,Flatbush Farm
77472,2138,Fay Da
77646,1239,Zeppelin Hall
77738,2336,Gild Hall
77808,1984,DB Bistro Moderne
77851,827,O'Neill's Irish Bar
77856,2320,Sofia Wine Bar and Café
77901,1867,Lansdowne Road
77940,2289,Tehuitzingo
78025,1515,Hibernia
78054,1686,Wendy's
78078,2481,Rudy's
78094,1716,The Black Door
78161,623,Twins Pub
78222,1845,"Gap, Fifth Avenue"
78293,1959,Central Parking
78301,1700,'wichcraft
78347,1018,Kmart
78443,1761,Burp Castle
78451,431,P.F. Chang's
78529,1889,Blue Ribbon Brasserie
78615,2074,Key Foods
78618,2008,Prospect Perk Café
78643,1321,Fresh & Co.
78716,203,The George Gustav Heye Center
78900,618,Starbucks Coffee
78991,1123,Mad Dog & Beans
79015,384,Museum of Jewish Heritage
79028,889,Chipotle
79113,2447,Tribeca Smiles
79205,1397,U.S. Federal Courthouse
79209,75,Brooklyn Supreme Court
79263,1674,Carroll Park
79357,1605,Adrienne's Pizzabar
79376,1967,Dyckman Street Station (Nagle Avenue)
79386,2279,Dykman Street Station (Broadway)
79447,1120,Starbucks Coffee
79547,1246,Starbucks Coffee
79559,30,Engine Company 4 Ladder Company 15
79576,2328,Square Diner 
79624,917,Red Egg
79674,1065,NYU Skirball Center For The Performing Arts
79714,851,Peter Blum Gallery
79769,724,Chill
79786,2151,"H&M, Soho"
79788,1368,Rock & Roll Hall Of Fame: Annex NYC
79823,2215,Hot Mini Cakes
79860,2405,Sláinte
79923,1496,300 East 34th Street
79951,1953,SDC Office
79962,1293,La Siren
79974,1390,New York City Fire Museum
80006,2476,Churrascaria Tribeca
80028,619,Souths
80055,813,Western Spirit
80074,977,Carve
80101,829,Hilton Newark Airport
80198,603,Qdoba Mexican Grill
80278,1983,Brooklyn Bowl
80293,320,Port Imperial
80325,1705,Haru Sushi
80358,1795,Cool Plaza Thing
80390,189,Tribute WTC Visitor center
80441,192,UBS Building
80551,1743,Monster Sushi
80567,593,A Salt And Battery
80580,328,Burrito Bar & Kitchen
80751,1182,Heartland Brewery
80861,1095,Villa Rustica
80870,1148,Sette
80913,208,Happy Ending
80921,1644,Crisp
80936,1042,Four Points Sheraton - Chelsea
80959,1433,Cobble Hill Cinema
81065,580,Zanzibar
81075,798,Five Guys Burgers and Fries
81112,103,Deity
81157,721,Aldo
81191,1823,Prime Meats
81245,1670,Union Street Station
81278,1160,Riverbank State Park
81331,1554,Bageltique
81356,1721,Chipotle
81369,2102,Pipa
81392,797,Latitude
81406,1774,Home on 8th
81413,1849,Tre Dici Steak
81423,1671,Union Street Bridge
81433,720,The Old Stone House at Washington Park
81446,895,Walker's
81468,2340,5th Ave. Market
81481,2012,Brooklyn College
81693,727,Empire Coffee & Tea
81714,2468,Henry Public
81727,1055,Baked
81749,1052,Fort Defiance
81785,1811,Brandy Library
81809,1464,Hillstone
81827,1940,Hanco's Bubble Tea & Vietnamese Sandwich
81842,1223,Cubana Cafe
81860,407,Brooklyn Social
81897,1688,Manhattan Espresso Cafe
82011,699,P.F. Chang's
82063,445,Roasting Plant
82068,1591,The Dressing Room
82157,268,Whole Foods Market (Bowery)
82213,1344,Walter's Pet Styles
82265,1719,"‘inoteca, liquori"
82272,233,The Salvation Army Thrift Shop
82298,487,Chipotle Mexican Grill
82302,2186,Mi Nidito
82305,2220,Hampton Inn
82325,1006,Vlada Lounge
82367,2458,Tout Va Bien
82378,159,Dutch Kills
82382,991,Blockheads
82409,1713,Cornerstone
82413,2442,USPS — FDR Station
82466,565,Dream Hotel
82595,2331,Hilton
82636,2254,Desmond's Tavern
82893,434,Raj Mahal
82983,1702,Killarney Rose
83048,1669,Brooklyn Industries
83061,2134,Lobo
83093,1118,Starbucks Coffee
83130,1661,Brooklyn Industries
83163,2036,Queen of Sheba
83283,2026,Arlington Diner
83316,840,Brick Lane Curry House
83358,2100,The Town Hall
83387,369,Edgewater Multiplex Cinemas
83396,349,Starbucks (Edgewater)
83482,706,Haru
83486,695,Brooklyn Artists Gym
83510,2477,Sing Sing Karaoke
83564,2236,Stop Shop
83620,2313,Wicked Willy's
83629,1208,New Jersey College Of Design
83662,1924,Hammerstein Ballroom
83691,1162,Chipotle
83754,842,Hive Awards Office
83764,1031,"Organic, Inc"
83843,1395,Market Place Bistro
83911,1195,Mindshare
83915,2286,International Food House Restaurant & Buffet
83951,793,Uncle Jack's Steakhouse
84078,515,TD Bank
84092,826,Holiday Inn Express
84104,1221,Szechuan Gourmet
84207,1866,Ocean Jewels Seafood Restaurant
